fit_id,problem_or_feature_id,target_type,method_id,fit_level,beginner_priority,applicable_conditions,required_conditions,favorable_conditions,unfavorable_conditions,exclusion_conditions,expected_strengths,expected_weaknesses,evaluation_budget_notes,dimensionality_notes,noise_notes,constraint_notes,initialization_notes,guarantee_notes,tuning_notes,rationale,evidence_source_ids,confidence,last_verified
PMF00046,PA010,problem,M_PROX_GRADIENT,default_choice,first_try,f(x)+g(x)でf滑らか凸、gのproxが安価。,凸性または適切な単調性。近接作用素・射影・分解が計算可能。,非滑らか正則化;巨大・疎・分散構造;単純反復,多数反復;step size/penalty調整;proxが難しい場合は不向き,非凸で証明必須;prox/射影が高価;離散変数,非滑らか正則化;巨大・疎・分散構造;単純反復,多数反復;step size/penalty調整;proxが難しい場合は不向き,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,dense Hessian/因子分解を避け、sparse/HVP/low-memory/block構造を利用。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,制約なし。暗黙のdomain failureやboundsが実質制約になっていないか確認。,initialization sensitivity=low_convex。複数startまたはwarm startの必要性をproblem instanceで確認。,モデル仮定、数値許容差、solver status、primal/dual residualまたはgapを満たす場合に限る。,tuning difficulty=medium。停止条件は primal_dual_residual;objective_gap;fixed_point_residual;budget。,非滑らか凸複合の主要特徴（composite、unconstrained、subgradient、cheap）に対し、近接勾配法は非滑らか正則化;巨大・疎・分散構造;単純反復。ただし多数反復;step size/penalty調整;proxが難しい場合は不向き。 汎用最適化の前に ALT_PROJECTION_PROX を確認する。,S055;S066;S067;S061,high,2026-07-13
PMF00047,PA010,problem,M_FISTA,strongly_recommended,second_try,凸複合構造と安価なprox/射影がある。,凸性または適切な単調性。近接作用素・射影・分解が計算可能。,非滑らか正則化;巨大・疎・分散構造;単純反復,多数反復;step size/penalty調整;proxが難しい場合は不向き,非凸で証明必須;prox/射影が高価;離散変数,非滑らか正則化;巨大・疎・分散構造;単純反復,多数反復;step size/penalty調整;proxが難しい場合は不向き,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,dense Hessian/因子分解を避け、sparse/HVP/low-memory/block構造を利用。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,制約なし。暗黙のdomain failureやboundsが実質制約になっていないか確認。,initialization sensitivity=low_convex。複数startまたはwarm startの必要性をproblem instanceで確認。,モデル仮定、数値許容差、solver status、primal/dual residualまたはgapを満たす場合に限る。,tuning difficulty=medium。停止条件は primal_dual_residual;objective_gap;fixed_point_residual;budget。,非滑らか凸複合の主要特徴（composite、unconstrained、subgradient、cheap）に対し、FISTAは非滑らか正則化;巨大・疎・分散構造;単純反復。ただし多数反復;step size/penalty調整;proxが難しい場合は不向き。 汎用最適化の前に ALT_PROJECTION_PROX を確認する。,S055;S066;S067;S061,high,2026-07-13
PMF00048,PA010,problem,M_COORDINATE_DESCENT,recommended,expert_guidance_recommended,汎用NLPが規模・非滑らかさで苦戦。,凸性または適切な単調性。近接作用素・射影・分解が計算可能。,非滑らか正則化;巨大・疎・分散構造;単純反復,多数反復;step size/penalty調整;proxが難しい場合は不向き,非凸で証明必須;prox/射影が高価;離散変数,非滑らか正則化;巨大・疎・分散構造;単純反復,多数反復;step size/penalty調整;proxが難しい場合は不向き,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,dense Hessian/因子分解を避け、sparse/HVP/low-memory/block構造を利用。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,制約なし。暗黙のdomain failureやboundsが実質制約になっていないか確認。,initialization sensitivity=low_convex。複数startまたはwarm startの必要性をproblem instanceで確認。,モデル仮定、数値許容差、solver status、primal/dual residualまたはgapを満たす場合に限る。,tuning difficulty=medium。停止条件は primal_dual_residual;objective_gap;fixed_point_residual;budget。,非滑らか凸複合の主要特徴（composite、unconstrained、subgradient、cheap）に対し、座標降下法は非滑らか正則化;巨大・疎・分散構造;単純反復。ただし多数反復;step size/penalty調整;proxが難しい場合は不向き。 汎用最適化の前に ALT_PROJECTION_PROX を確認する。,S055;S066;S067;S061;S056,medium,2026-07-13
PMF00049,PA010,problem,M_ADMM,conditional,expert_guidance_recommended,汎用NLPが規模・非滑らかさで苦戦。,凸性または適切な単調性。近接作用素・射影・分解が計算可能。,非滑らか正則化;巨大・疎・分散構造;単純反復,多数反復;step size/penalty調整;proxが難しい場合は不向き,非凸で証明必須;prox/射影が高価;離散変数,非滑らか正則化;巨大・疎・分散構造;単純反復,多数反復;step size/penalty調整;proxが難しい場合は不向き,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,dense Hessian/因子分解を避け、sparse/HVP/low-memory/block構造を利用。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,制約なし。暗黙のdomain failureやboundsが実質制約になっていないか確認。,initialization sensitivity=low_convex。複数startまたはwarm startの必要性をproblem instanceで確認。,モデル仮定、数値許容差、solver status、primal/dual residualまたはgapを満たす場合に限る。,tuning difficulty=high。停止条件は primal_dual_residual;objective_gap;fixed_point_residual;budget。,非滑らか凸複合の主要特徴（composite、unconstrained、subgradient、cheap）に対し、交互方向乗数法は非滑らか正則化;巨大・疎・分散構造;単純反復。ただし多数反復;step size/penalty調整;proxが難しい場合は不向き。 汎用最適化の前に ALT_PROJECTION_PROX を確認する。,S055;S066;S067;S061,medium,2026-07-13
PMF00050,PA010,problem,M_SUBGRADIENT,generally_unsuitable,avoid_as_default,汎用NLPが規模・非滑らかさで苦戦。,凸性または適切な単調性。近接作用素・射影・分解が計算可能。,実装単純;巨大問題,収束が遅い;step scheduleに敏感,問題の主要構造・変数型・保証要求と不整合。,実装単純;巨大問題,収束が遅い;step scheduleに敏感,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,dense Hessian/因子分解を避け、sparse/HVP/low-memory/block構造を利用。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,制約なし。暗黙のdomain failureやboundsが実質制約になっていないか確認。,initialization sensitivity=low_convex。複数startまたはwarm startの必要性をproblem instanceで確認。,モデル仮定、数値許容差、solver status、primal/dual residualまたはgapを満たす場合に限る。,tuning difficulty=medium。停止条件は primal_dual_residual;objective_gap;fixed_point_residual;budget。,非滑らか凸複合の主要特徴（composite、unconstrained、subgradient、cheap）に対し、劣勾配法は実装単純;巨大問題。ただし収束が遅い;step scheduleに敏感。 汎用最適化の前に ALT_PROJECTION_PROX を確認する。,S055;S066;S067;S061,medium,2026-07-13
PMF00051,PA011,problem,M_MADS,default_choice,first_try,低中次元、微分不能/評価失敗、black-box制約。,評価が有限で、局所探索に十分な予算。手法により局所Lipschitz性等。,微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種,高次元で評価数が急増;局所解;停止判定が弱い,高次元かつ高価;厳密大域証明;離散混合を無変換で扱う,微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種,高次元で評価数が急増;局所解;停止判定が弱い,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,初期可行性、許容違反、最終primal residual、制約scaleを記録。,initialization sensitivity=high。複数startまたはwarm startの必要性をproblem instanceで確認。,非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,tuning difficulty=medium。停止条件は mesh_size;trust_region_radius;step_size;objective_change;budget。,一般非滑らか局所の主要特徴（general_nonlinear、bounds、none_available、cheap）に対し、mesh adaptive direct searchは微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種。ただし高次元で評価数が急増;局所解;停止判定が弱い。 汎用最適化の前に ALT_GENERIC_OPT を確認する。,S018;S031;S060;S002;S063,high,2026-07-13
PMF00052,PA011,problem,M_COBYQA,strongly_recommended,second_try,低〜中次元、評価が比較的安価、微分が信用できない。,評価が有限で、局所探索に十分な予算。手法により局所Lipschitz性等。,微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種,高次元で評価数が急増;局所解;停止判定が弱い,高次元かつ高価;厳密大域証明;離散混合を無変換で扱う,微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種,高次元で評価数が急増;局所解;停止判定が弱い,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,初期可行性、許容違反、最終primal residual、制約scaleを記録。,initialization sensitivity=high。複数startまたはwarm startの必要性をproblem instanceで確認。,非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,tuning difficulty=medium。停止条件は mesh_size;trust_region_radius;step_size;objective_change;budget。,一般非滑らか局所の主要特徴（general_nonlinear、bounds、none_available、cheap）に対し、COBYQAは微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種。ただし高次元で評価数が急増;局所解;停止判定が弱い。 汎用最適化の前に ALT_GENERIC_OPT を確認する。,S018;S031;S060;S002;S063,high,2026-07-13
PMF00053,PA011,problem,M_PATTERN_SEARCH,recommended,expert_guidance_recommended,数値微分型勾配法が不安定。,評価が有限で、局所探索に十分な予算。手法により局所Lipschitz性等。,微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種,高次元で評価数が急増;局所解;停止判定が弱い,高次元かつ高価;厳密大域証明;離散混合を無変換で扱う,微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種,高次元で評価数が急増;局所解;停止判定が弱い,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,初期可行性、許容違反、最終primal residual、制約scaleを記録。,initialization sensitivity=high。複数startまたはwarm startの必要性をproblem instanceで確認。,非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,tuning difficulty=medium。停止条件は mesh_size;trust_region_radius;step_size;objective_change;budget。,一般非滑らか局所の主要特徴（general_nonlinear、bounds、none_available、cheap）に対し、pattern searchは微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種。ただし高次元で評価数が急増;局所解;停止判定が弱い。 汎用最適化の前に ALT_GENERIC_OPT を確認する。,S018;S031;S060;S002;S063,medium,2026-07-13
PMF00054,PA011,problem,M_BUNDLE,conditional,expert_guidance_recommended,汎用NLPが規模・非滑らかさで苦戦。,凸性または適切な単調性。近接作用素・射影・分解が計算可能。,非滑らか正則化;巨大・疎・分散構造;単純反復,多数反復;step size/penalty調整;proxが難しい場合は不向き,非凸で証明必須;prox/射影が高価;離散変数,非滑らか正則化;巨大・疎・分散構造;単純反復,多数反復;step size/penalty調整;proxが難しい場合は不向き,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,初期可行性、許容違反、最終primal residual、制約scaleを記録。,initialization sensitivity=low_convex。複数startまたはwarm startの必要性をproblem instanceで確認。,モデル仮定、数値許容差、solver status、primal/dual residualまたはgapを満たす場合に限る。,tuning difficulty=medium。停止条件は primal_dual_residual;objective_gap;fixed_point_residual;budget。,一般非滑らか局所の主要特徴（general_nonlinear、bounds、none_available、cheap）に対し、bundle法は非滑らか正則化;巨大・疎・分散構造;単純反復。ただし多数反復;step size/penalty調整;proxが難しい場合は不向き。 汎用最適化の前に ALT_GENERIC_OPT を確認する。,S018;S031;S060;S055;S061;S066;S067;S056,medium,2026-07-13
PMF00055,PA011,problem,M_BFGS,generally_unsuitable,avoid_as_default,数値微分が安価か、自動微分を追加できる。,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,問題の主要構造・変数型・保証要求と不整合。,滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,native制約対応が弱い。変数変換・射影・penaltyの妥当性と最終可行性を別途検証。,initialization sensitivity=medium_nonconvex。複数startまたはwarm startの必要性をproblem instanceで確認。,非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,tuning difficulty=medium。停止条件は gradient_norm;step_norm;objective_change;budget。,一般非滑らか局所の主要特徴（general_nonlinear、bounds、none_available、cheap）に対し、BFGS法は滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確。ただし局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き。 汎用最適化の前に ALT_GENERIC_OPT を確認する。,S018;S031;S060;S002;S056;S057,medium,2026-07-13
PMF00056,PA012,problem,M_MADS,default_choice,first_try,低中次元、微分不能/評価失敗、black-box制約。,評価が有限で、局所探索に十分な予算。手法により局所Lipschitz性等。,微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種,高次元で評価数が急増;局所解;停止判定が弱い,高次元かつ高価;厳密大域証明;離散混合を無変換で扱う,微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種,高次元で評価数が急増;局所解;停止判定が弱い,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,初期可行性、許容違反、最終primal residual、制約scaleを記録。,initialization sensitivity=high。複数startまたはwarm startの必要性をproblem instanceで確認。,非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,tuning difficulty=medium。停止条件は mesh_size;trust_region_radius;step_size;objective_change;budget。,不連続決定論black-boxの主要特徴（simulation、bounds、none_available、moderate）に対し、mesh adaptive direct searchは微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種。ただし高次元で評価数が急増;局所解;停止判定が弱い。 汎用最適化の前に ALT_SURROGATE;ALT_SIMULATION_SEARCH を確認する。,S031;S033;S002;S018;S060;S063,high,2026-07-13
PMF00057,PA012,problem,M_PATTERN_SEARCH,strongly_recommended,second_try,低〜中次元、評価が比較的安価、微分が信用できない。,評価が有限で、局所探索に十分な予算。手法により局所Lipschitz性等。,微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種,高次元で評価数が急増;局所解;停止判定が弱い,高次元かつ高価;厳密大域証明;離散混合を無変換で扱う,微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種,高次元で評価数が急増;局所解;停止判定が弱い,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,初期可行性、許容違反、最終primal residual、制約scaleを記録。,initialization sensitivity=high。複数startまたはwarm startの必要性をproblem instanceで確認。,非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,tuning difficulty=medium。停止条件は mesh_size;trust_region_radius;step_size;objective_change;budget。,不連続決定論black-boxの主要特徴（simulation、bounds、none_available、moderate）に対し、pattern searchは微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種。ただし高次元で評価数が急増;局所解;停止判定が弱い。 汎用最適化の前に ALT_SURROGATE;ALT_SIMULATION_SEARCH を確認する。,S031;S033;S002;S018;S060;S063,high,2026-07-13
PMF00058,PA012,problem,M_CMA_ES,recommended,expert_guidance_recommended,局所DFOが初期値依存。,評価予算と妥当な変数表現・境界・乱数管理。,微分不要;不連続・多峰性;並列性;柔軟な表現,大量評価;証明なし;parameter・encoding依存,評価が極端に高価で低予算;厳密証明;高次元で構造利用可能,微分不要;不連続・多峰性;並列性;柔軟な表現,大量評価;証明なし;parameter・encoding依存,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,初期可行性、許容違反、最終primal residual、制約scaleを記録。,initialization sensitivity=medium。複数startまたはwarm startの必要性をproblem instanceで確認。,大域的に探索するが有限予算の最適性証明ではない。seed/再実行/下界比較が必要。,tuning difficulty=high。停止条件は evaluation_budget;time;stall;diversity。,不連続決定論black-boxの主要特徴（simulation、bounds、none_available、moderate）に対し、CMA-ESは微分不要;不連続・多峰性;並列性;柔軟な表現。ただし大量評価;証明なし;parameter・encoding依存。 汎用最適化の前に ALT_SURROGATE;ALT_SIMULATION_SEARCH を確認する。,S031;S033;S032;S040;S058;S074,medium,2026-07-13
PMF00059,PA012,problem,M_DIFFERENTIAL_EVOLUTION,conditional,expert_guidance_recommended,複数start局所法で解が不安定。,有限探索領域と十分な評価予算。証明型では追加構造。,多峰性;複数解候補;局所法の初期値依存を緩和,評価費大;証明が弱い;次元の呪い,高次元高価で構造なし;局所解で十分;証明必須なのにheuristicのみ,多峰性;複数解候補;局所法の初期値依存を緩和,評価費大;証明が弱い;次元の呪い,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,初期可行性、許容違反、最終primal residual、制約scaleを記録。,initialization sensitivity=lower_than_single_start。複数startまたはwarm startの必要性をproblem instanceで確認。,大域的に探索するが有限予算の最適性証明ではない。seed/再実行/下界比較が必要。,tuning difficulty=medium。停止条件は evaluation_budget;time_budget;global_gap_if_available;stall。,不連続決定論black-boxの主要特徴（simulation、bounds、none_available、moderate）に対し、差分進化は多峰性;複数解候補;局所法の初期値依存を緩和。ただし評価費大;証明が弱い;次元の呪い。 汎用最適化の前に ALT_SURROGATE;ALT_SIMULATION_SEARCH を確認する。,S031;S033;S006;S007;S008;S009;S072;S073;S074,medium,2026-07-13
PMF00060,PA012,problem,M_BFGS,generally_unsuitable,avoid_as_default,数値微分が安価か、自動微分を追加できる。,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,問題の主要構造・変数型・保証要求と不整合。,滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,native制約対応が弱い。変数変換・射影・penaltyの妥当性と最終可行性を別途検証。,initialization sensitivity=medium_nonconvex。複数startまたはwarm startの必要性をproblem instanceで確認。,非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,tuning difficulty=medium。停止条件は gradient_norm;step_norm;objective_change;budget。,不連続決定論black-boxの主要特徴（simulation、bounds、none_available、moderate）に対し、BFGS法は滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確。ただし局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き。 汎用最適化の前に ALT_SURROGATE;ALT_SIMULATION_SEARCH を確認する。,S031;S033;S002;S056;S057,medium,2026-07-13
PMF00061,PA013,problem,M_SPSA,default_choice,first_try,高次元・noiseあり・評価予算から座標差分が不可能。,評価が有限で、局所探索に十分な予算。手法により局所Lipschitz性等。,微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種,高次元で評価数が急増;局所解;停止判定が弱い,高次元かつ高価;厳密大域証明;離散混合を無変換で扱う,微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種,高次元で評価数が急増;局所解;停止判定が弱い,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,初期可行性、許容違反、最終primal residual、制約scaleを記録。,initialization sensitivity=high。複数startまたはwarm startの必要性をproblem instanceで確認。,非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,tuning difficulty=medium。停止条件は mesh_size;trust_region_radius;step_size;objective_change;budget。,noiseを含むblack-boxの主要特徴（simulation、bounds、none_available、moderate）に対し、同時摂動確率近似は微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種。ただし高次元で評価数が急増;局所解;停止判定が弱い。 汎用最適化の前に ALT_SURROGATE;ALT_STAT_INFERENCE を確認する。,S032;S035;S059;S002;S018;S031;S060;S063;S056,high,2026-07-13
PMF00062,PA013,problem,M_CMA_ES,strongly_recommended,second_try,中低次元・nonconvex・noise/ill-conditioning・評価並列可能。,評価予算と妥当な変数表現・境界・乱数管理。,微分不要;不連続・多峰性;並列性;柔軟な表現,大量評価;証明なし;parameter・encoding依存,評価が極端に高価で低予算;厳密証明;高次元で構造利用可能,微分不要;不連続・多峰性;並列性;柔軟な表現,大量評価;証明なし;parameter・encoding依存,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,初期可行性、許容違反、最終primal residual、制約scaleを記録。,initialization sensitivity=medium。複数startまたはwarm startの必要性をproblem instanceで確認。,大域的に探索するが有限予算の最適性証明ではない。seed/再実行/下界比較が必要。,tuning difficulty=high。停止条件は evaluation_budget;time;stall;diversity。,noiseを含むblack-boxの主要特徴（simulation、bounds、none_available、moderate）に対し、CMA-ESは微分不要;不連続・多峰性;並列性;柔軟な表現。ただし大量評価;証明なし;parameter・encoding依存。 汎用最適化の前に ALT_SURROGATE;ALT_STAT_INFERENCE を確認する。,S032;S035;S059;S033;S040;S058;S074,high,2026-07-13
PMF00063,PA013,problem,M_BAYESIAN_OPT_GP,recommended,expert_guidance_recommended,random/evolutionary searchでは予算不足。,評価が高価で履歴再利用に価値がある。search spaceとnoise/resourceを適切にmodel化。,高価な評価の節約;不確実性活用;条件付き空間対応の変種,高次元・非定常・model misspecification;acquisition最適化;証明ではない,評価が安価で大量可能;極端高次元;再現不能noiseを未model化,高価な評価の節約;不確実性活用;条件付き空間対応の変種,高次元・非定常・model misspecification;acquisition最適化;証明ではない,評価回数を主予算として管理。surrogate fit時間より実評価節約が価値を持つ条件を確認。,固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,observation noise、heteroskedasticity、replicationをsurrogateへ明示。,初期可行性、許容違反、最終primal residual、制約scaleを記録。,initialization sensitivity=medium。複数startまたはwarm startの必要性をproblem instanceで確認。,大域的に探索するが有限予算の最適性証明ではない。seed/再実行/下界比較が必要。,tuning difficulty=high。停止条件は evaluation_budget;time;expected_improvement;confidence_or_stall。,noiseを含むblack-boxの主要特徴（simulation、bounds、none_available、moderate）に対し、Gaussian process Bayesian optimizationは高価な評価の節約;不確実性活用;条件付き空間対応の変種。ただし高次元・非定常・model misspecification;acquisition最適化;証明ではない。 汎用最適化の前に ALT_SURROGATE;ALT_STAT_INFERENCE を確認する。,S032;S035;S059;S034;S036;S037;S038;S069;S075,medium,2026-07-13
PMF00064,PA013,problem,M_RANDOM_SEARCH,conditional,expert_guidance_recommended,random/evolutionary searchでは予算不足。,評価が高価で履歴再利用に価値がある。search spaceとnoise/resourceを適切にmodel化。,実装単純;並列;model misspecificationなし,高次元・非定常・model misspecification;acquisition最適化;証明ではない,評価が安価で大量可能;極端高次元;再現不能noiseを未model化,実装単純;並列;model misspecificationなし,高次元・非定常・model misspecification;acquisition最適化;証明ではない,評価回数を主予算として管理。surrogate fit時間より実評価節約が価値を持つ条件を確認。,固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,observation noise、heteroskedasticity、replicationをsurrogateへ明示。,初期可行性、許容違反、最終primal residual、制約scaleを記録。,initialization sensitivity=medium。複数startまたはwarm startの必要性をproblem instanceで確認。,大域的に探索するが有限予算の最適性証明ではない。seed/再実行/下界比較が必要。,tuning difficulty=low。停止条件は evaluation_budget;time;expected_improvement;confidence_or_stall。,noiseを含むblack-boxの主要特徴（simulation、bounds、none_available、moderate）に対し、random searchは実装単純;並列;model misspecificationなし。ただし高次元・非定常・model misspecification;acquisition最適化;証明ではない。 汎用最適化の前に ALT_SURROGATE;ALT_STAT_INFERENCE を確認する。,S032;S035;S059;S034;S036;S037;S038;S069;S075,medium,2026-07-13
PMF00065,PA013,problem,M_BFGS,generally_unsuitable,avoid_as_default,数値微分が安価か、自動微分を追加できる。,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,問題の主要構造・変数型・保証要求と不整合。 noiseが局所model・停止判定を破壊する。,滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,noise floor以下のgradient/line-search判定は不可信。replication、common random numbers、stochastic/DFOへ切替を検討。,native制約対応が弱い。変数変換・射影・penaltyの妥当性と最終可行性を別途検証。,initialization sensitivity=medium_nonconvex。複数startまたはwarm startの必要性をproblem instanceで確認。,非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,tuning difficulty=medium。停止条件は gradient_norm;step_norm;objective_change;budget。,noiseを含むblack-boxの主要特徴（simulation、bounds、none_available、moderate）に対し、BFGS法は滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確。ただし局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き。 汎用最適化の前に ALT_SURROGATE;ALT_STAT_INFERENCE を確認する。,S032;S035;S059;S002;S056;S057,medium,2026-07-13
PMF00066,PA014,problem,M_BAYESIAN_OPT_GP,default_choice,first_try,低〜中次元、1評価が非常に高価、数十〜数百評価。,評価が高価で履歴再利用に価値がある。search spaceとnoise/resourceを適切にmodel化。,高価な評価の節約;不確実性活用;条件付き空間対応の変種,高次元・非定常・model misspecification;acquisition最適化;証明ではない,評価が安価で大量可能;極端高次元;再現不能noiseを未model化,高価な評価の節約;不確実性活用;条件付き空間対応の変種,高次元・非定常・model misspecification;acquisition最適化;証明ではない,評価回数を主予算として管理。surrogate fit時間より実評価節約が価値を持つ条件を確認。,固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,observation noise、heteroskedasticity、replicationをsurrogateへ明示。,初期可行性、許容違反、最終primal residual、制約scaleを記録。,initialization sensitivity=medium。複数startまたはwarm startの必要性をproblem instanceで確認。,大域的に探索するが有限予算の最適性証明ではない。seed/再実行/下界比較が必要。,tuning difficulty=high。停止条件は evaluation_budget;time;expected_improvement;confidence_or_stall。,非常に高価な低次元評価の主要特徴（simulation、bounds、none_available、very_expensive）に対し、Gaussian process Bayesian optimizationは高価な評価の節約;不確実性活用;条件付き空間対応の変種。ただし高次元・非定常・model misspecification;acquisition最適化;証明ではない。 汎用最適化の前に ALT_SURROGATE;ALT_GENERIC_OPT を確認する。,S035;S059;S075;S034;S036;S037;S038;S069,high,2026-07-13
