case_feature_map_id,case_id,feature_id,feature_value_id,value_text,truth_status,notes,source_ids,confidence,last_verified
CFM00184,EC019,F_SMOOTHNESS,FV0028,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S023;S024,medium,2026-07-13
CFM00185,EC019,F_DERIVATIVE_ACCESS,FV0038,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S023;S024,medium,2026-07-13
CFM00186,EC019,F_CONSTRAINT_CLASS,FV0047,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S023;S024,medium,2026-07-13
CFM00187,EC019,F_DIMENSION_CONTEXT,FV0056,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S023;S024,medium,2026-07-13
CFM00188,EC019,F_EVALUATION_COST,FV0060,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S023;S024,medium,2026-07-13
CFM00189,EC019,F_NOISE_LEVEL,FV0063,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S023;S024,medium,2026-07-13
CFM00190,EC019,F_SOLUTION_GOAL,FV0073,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S023;S024,medium,2026-07-13
CFM00191,EC020,F_VARIABLE_DOMAIN,FV0009,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S042;S043;S076,medium,2026-07-13
CFM00192,EC020,F_OBJECTIVE_FORM,FV0015,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S042;S043;S076,medium,2026-07-13
CFM00193,EC020,F_CONVEXITY,FV0022,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S042;S043;S076,medium,2026-07-13
CFM00194,EC020,F_SMOOTHNESS,FV0024,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S042;S043;S076,medium,2026-07-13
CFM00195,EC020,F_DERIVATIVE_ACCESS,FV0031,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S042;S043;S076,medium,2026-07-13
CFM00196,EC020,F_CONSTRAINT_CLASS,FV0051,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S042;S043;S076,medium,2026-07-13
CFM00197,EC020,F_DIMENSION_CONTEXT,FV0056,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S042;S043;S076,medium,2026-07-13
CFM00198,EC020,F_EVALUATION_COST,FV0061,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S042;S043;S076,medium,2026-07-13
CFM00199,EC020,F_NOISE_LEVEL,FV0063,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S042;S043;S076,medium,2026-07-13
CFM00200,EC020,F_SOLUTION_GOAL,FV0068,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S042;S043;S076,medium,2026-07-13
CFM00201,EC021,F_VARIABLE_DOMAIN,FV0001,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S047;S048;S049;S070,medium,2026-07-13
CFM00202,EC021,F_OBJECTIVE_FORM,FV0015,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S047;S048;S049;S070,medium,2026-07-13
CFM00203,EC021,F_CONVEXITY,FV0022,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S047;S048;S049;S070,medium,2026-07-13
CFM00204,EC021,F_SMOOTHNESS,FV0024,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S047;S048;S049;S070,medium,2026-07-13
CFM00205,EC021,F_DERIVATIVE_ACCESS,FV0033,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S047;S048;S049;S070,medium,2026-07-13
CFM00206,EC021,F_CONSTRAINT_CLASS,FV0041,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S047;S048;S049;S070,medium,2026-07-13
CFM00207,EC021,F_DIMENSION_CONTEXT,FV0057,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S047;S048;S049;S070,medium,2026-07-13
CFM00208,EC021,F_EVALUATION_COST,FV0060,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S047;S048;S049;S070,medium,2026-07-13
CFM00209,EC021,F_NOISE_LEVEL,FV0065,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S047;S048;S049;S070,medium,2026-07-13
CFM00210,EC021,F_SOLUTION_GOAL,FV0068,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S047;S048;S049;S070,medium,2026-07-13
CFM00211,EC022,F_VARIABLE_DOMAIN,FV0005,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S034;S035;S037;S038,medium,2026-07-13
CFM00212,EC022,F_OBJECTIVE_FORM,FV0016,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S034;S035;S037;S038,medium,2026-07-13
CFM00213,EC022,F_CONVEXITY,FV0022,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S034;S035;S037;S038,medium,2026-07-13
CFM00214,EC022,F_SMOOTHNESS,FV0029,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S034;S035;S037;S038,medium,2026-07-13
CFM00215,EC022,F_DERIVATIVE_ACCESS,FV0037,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S034;S035;S037;S038,medium,2026-07-13
CFM00216,EC022,F_CONSTRAINT_CLASS,FV0042,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S034;S035;S037;S038,medium,2026-07-13
CFM00217,EC022,F_DIMENSION_CONTEXT,FV0055,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S034;S035;S037;S038,medium,2026-07-13
CFM00218,EC022,F_EVALUATION_COST,FV0061,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S034;S035;S037;S038,medium,2026-07-13
CFM00219,EC022,F_NOISE_LEVEL,FV0065,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S034;S035;S037;S038,medium,2026-07-13
CFM00220,EC022,F_SOLUTION_GOAL,FV0070,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S034;S035;S037;S038,medium,2026-07-13
CFM00221,EC023,F_VARIABLE_DOMAIN,FV0005,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S005;S016;S021;S024,medium,2026-07-13
CFM00222,EC023,F_OBJECTIVE_FORM,FV0011,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S005;S016;S021;S024,medium,2026-07-13
CFM00223,EC023,F_CONVEXITY,FV0022,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S005;S016;S021;S024,medium,2026-07-13
CFM00224,EC023,F_SMOOTHNESS,FV0028,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S005;S016;S021;S024,medium,2026-07-13
CFM00225,EC023,F_DERIVATIVE_ACCESS,FV0038,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S005;S016;S021;S024,medium,2026-07-13
CFM00226,EC023,F_CONSTRAINT_CLASS,FV0045,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S005;S016;S021;S024,medium,2026-07-13
CFM00227,EC023,F_DIMENSION_CONTEXT,FV0056,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S005;S016;S021;S024,medium,2026-07-13
CFM00228,EC023,F_EVALUATION_COST,FV0059,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S005;S016;S021;S024,medium,2026-07-13
CFM00229,EC023,F_NOISE_LEVEL,FV0063,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S005;S016;S021;S024,medium,2026-07-13
CFM00230,EC023,F_SOLUTION_GOAL,FV0072,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S005;S016;S021;S024,medium,2026-07-13
CFM00231,EC024,F_VARIABLE_DOMAIN,FV0010,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S023;S024,medium,2026-07-13
CFM00232,EC024,F_OBJECTIVE_FORM,FV0093,,yes,Inherited from representative archetype; concrete instance summary takes precedence.;v0.2.0 enum normalization,S023;S024,medium,2026-07-13
CFM00233,EC024,F_CONVEXITY,FV0022,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S023;S024,medium,2026-07-13
CFM00234,EC024,F_SMOOTHNESS,FV0028,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S023;S024,medium,2026-07-13
CFM00235,EC024,F_DERIVATIVE_ACCESS,FV0038,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S023;S024,medium,2026-07-13
CFM00236,EC024,F_CONSTRAINT_CLASS,FV0047,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S023;S024,medium,2026-07-13
CFM00237,EC024,F_DIMENSION_CONTEXT,FV0056,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S023;S024,medium,2026-07-13
CFM00238,EC024,F_EVALUATION_COST,FV0060,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S023;S024,medium,2026-07-13
CFM00239,EC024,F_NOISE_LEVEL,FV0063,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S023;S024,medium,2026-07-13
CFM00240,EC024,F_SOLUTION_GOAL,FV0073,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S023;S024,medium,2026-07-13
CFM00241,EC025,F_VARIABLE_DOMAIN,FV0009,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S012;S043;S076,medium,2026-07-13
CFM00242,EC025,F_OBJECTIVE_FORM,FV0012,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S012;S043;S076,medium,2026-07-13
CFM00243,EC025,F_CONVEXITY,FV0019,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S012;S043;S076,medium,2026-07-13
CFM00244,EC025,F_SMOOTHNESS,FV0024,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S012;S043;S076,medium,2026-07-13
CFM00245,EC025,F_DERIVATIVE_ACCESS,FV0030,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S012;S043;S076,medium,2026-07-13
CFM00246,EC025,F_CONSTRAINT_CLASS,FV0051,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S012;S043;S076,medium,2026-07-13
CFM00247,EC025,F_DIMENSION_CONTEXT,FV0056,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S012;S043;S076,medium,2026-07-13
CFM00248,EC025,F_EVALUATION_COST,FV0059,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S012;S043;S076,medium,2026-07-13
CFM00249,EC025,F_NOISE_LEVEL,FV0063,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S012;S043;S076,medium,2026-07-13
CFM00250,EC025,F_SOLUTION_GOAL,FV0068,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S012;S043;S076,medium,2026-07-13
CFM00251,EC026,F_VARIABLE_DOMAIN,FV0001,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S017;S019;S056,medium,2026-07-13
CFM00252,EC026,F_OBJECTIVE_FORM,FV0015,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S017;S019;S056,medium,2026-07-13
CFM00253,EC026,F_CONVEXITY,FV0022,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S017;S019;S056,medium,2026-07-13
CFM00254,EC026,F_SMOOTHNESS,FV0024,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S017;S019;S056,medium,2026-07-13
CFM00255,EC026,F_DERIVATIVE_ACCESS,FV0036,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S017;S019;S056,medium,2026-07-13
CFM00256,EC026,F_CONSTRAINT_CLASS,FV0052,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S017;S019;S056,medium,2026-07-13
CFM00257,EC026,F_DIMENSION_CONTEXT,FV0058,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S017;S019;S056,medium,2026-07-13
CFM00258,EC026,F_EVALUATION_COST,FV0062,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S017;S019;S056,medium,2026-07-13
CFM00259,EC026,F_NOISE_LEVEL,FV0063,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S017;S019;S056,medium,2026-07-13
CFM00260,EC026,F_SOLUTION_GOAL,FV0068,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S017;S019;S056,medium,2026-07-13
CFM00261,EC027,F_VARIABLE_DOMAIN,FV0005,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S031;S035,medium,2026-07-13
CFM00262,EC027,F_OBJECTIVE_FORM,FV0016,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S031;S035,medium,2026-07-13
CFM00263,EC027,F_CONVEXITY,FV0022,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S031;S035,medium,2026-07-13
CFM00264,EC027,F_SMOOTHNESS,FV0027,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S031;S035,medium,2026-07-13
CFM00265,EC027,F_DERIVATIVE_ACCESS,FV0037,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S031;S035,medium,2026-07-13
CFM00266,EC027,F_CONSTRAINT_CLASS,FV0052,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S031;S035,medium,2026-07-13
CFM00267,EC027,F_DIMENSION_CONTEXT,FV0055,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S031;S035,medium,2026-07-13
CFM00268,EC027,F_EVALUATION_COST,FV0061,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S031;S035,medium,2026-07-13
CFM00269,EC027,F_NOISE_LEVEL,FV0067,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S031;S035,medium,2026-07-13
CFM00270,EC027,F_SOLUTION_GOAL,FV0073,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S031;S035,medium,2026-07-13
CFM00271,EC028,F_VARIABLE_DOMAIN,FV0001,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S080;S056,medium,2026-07-13
CFM00272,EC028,F_OBJECTIVE_FORM,FV0017,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S080;S056,medium,2026-07-13
CFM00273,EC028,F_CONVEXITY,FV0023,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S080;S056,medium,2026-07-13
CFM00274,EC028,F_SMOOTHNESS,FV0024,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S080;S056,medium,2026-07-13
CFM00275,EC028,F_DERIVATIVE_ACCESS,FV0035,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S080;S056,medium,2026-07-13
CFM00276,EC028,F_CONSTRAINT_CLASS,FV0041,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S080;S056,medium,2026-07-13
CFM00277,EC028,F_DIMENSION_CONTEXT,FV0055,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S080;S056,medium,2026-07-13
CFM00278,EC028,F_EVALUATION_COST,FV0060,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S080;S056,medium,2026-07-13
CFM00279,EC028,F_NOISE_LEVEL,FV0063,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S080;S056,medium,2026-07-13
CFM00280,EC028,F_SOLUTION_GOAL,FV0068,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S080;S056,medium,2026-07-13
