problem_id,name_ja,name_en,summary,domain_group,canonical_form,primary_variable_type,objective_structure,constraint_structure,convexity,smoothness,derivative_access,typical_dimension,typical_evaluation_cost,typical_noise,evaluation_reliability,solution_requirement,special_structure,repeated_solve_mode,parallel_budget,generic_optimization_appropriate,alternative_check_ids,example_domains,first_questions,source_ids,confidence,last_verified
\SPA047,\Sgame・equilibrium・VI,\SGame/equilibrium/VI,\Sgame・equilibrium・VI。変数=continuous、目的=general_nonlinear、制約=mixed。,\Sadvanced,\Sminimize general_nonlinear; subject to mixed,\Scontinuous,\Sgeneral_nonlinear,\Smixed,\Snonconvex,\Ssmooth,\Sanalytic_gradient,\Shigh,\Smoderate,\Sdeterministic,\Sreliable,\Slocal_stationary,\Sblock,\Sone_off,\Sserial,\Sconditional,\SALT_ROOT;ALT_SPECIALIZED,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS054;S055,\Shigh,\S2026-07-13
\SPA048,\S相補性問題,\SComplementarity,\S相補性問題。変数=continuous、目的=general_nonlinear、制約=nonlinear。,\Sadvanced,\Sminimize general_nonlinear; subject to nonlinear,\Scontinuous,\Sgeneral_nonlinear,\Snonlinear,\Snonconvex,\Snonsmooth,\Sjacobian,\Smedium,\Smoderate,\Sdeterministic,\Sreliable,\Slocal_stationary,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_ROOT;ALT_SPECIALIZED,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS054;S056,\Shigh,\S2026-07-13
\SPA049,\S確率計画,\SStochastic programming,\S確率計画。変数=mixed、目的=general_nonlinear、制約=mixed。,\Suncertainty,\Sminimize general_nonlinear; subject to mixed,\Smixed,\Sgeneral_nonlinear,\Smixed,\Sconvex,\Ssmooth,\Sstochastic_gradient,\Shigh,\Sexpensive,\Smoderate_noise,\Sreliable,\Sconvex_global,\Sblock,\Sone_off,\Sserial,\Sconditional,\SALT_DECOMPOSITION;ALT_STAT_INFERENCE,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS054;S061,\Shigh,\S2026-07-13
\SPA050,\Srobust optimization,\SRobust optimization,\Srobust optimization。変数=mixed、目的=general_nonlinear、制約=mixed。,\Suncertainty,\Sminimize general_nonlinear; subject to mixed,\Smixed,\Sgeneral_nonlinear,\Smixed,\Sconvex,\Ssmooth,\Sanalytic_gradient,\Shigh,\Smoderate,\Sdeterministic,\Sreliable,\Sglobal_proof,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_RELAXATION;ALT_SPECIALIZED,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS055,\Shigh,\S2026-07-13
\SPA051,\S分散・合意最適化,\SDistributed consensus,\S分散・合意最適化。変数=continuous、目的=composite、制約=mixed。,\Sdistributed,\Sminimize composite; subject to mixed,\Scontinuous,\Scomposite,\Smixed,\Sconvex,\Ssmooth,\Sanalytic_gradient,\Svery_high,\Smoderate,\Sdeterministic,\Sreliable,\Sconvex_global,\Sseparable,\Sone_off,\Sserial,\Sconditional,\SALT_DECOMPOSITION,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS061,\Shigh,\S2026-07-13
\SPA052,\Sonline optimization,\SOnline optimization,\Sonline optimization。変数=continuous、目的=general_nonlinear、制約=bounds。,\Sonline,\Sminimize general_nonlinear; subject to bounds,\Scontinuous,\Sgeneral_nonlinear,\Sbounds,\Sconvex,\Ssmooth,\Sstochastic_gradient,\Shigh,\Scheap,\Smoderate_noise,\Sreliable,\Slocal_stationary,\Sseparable,\Sone_off,\Sserial,\Sconditional,\SALT_STAT_INFERENCE,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS054,\Shigh,\S2026-07-13
\SPA053,\S反復parametric optimization,\SRepeated parametric,\S反復parametric optimization。変数=continuous、目的=quadratic、制約=mixed。,\Srepeated,\Sminimize quadratic; subject to mixed,\Scontinuous,\Squadratic,\Smixed,\Sconvex,\Ssmooth,\Sanalytic_gradient,\Shigh,\Scheap,\Sdeterministic,\Sreliable,\Sconvex_global,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_SPECIALIZED,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS012;S016;S043,\Shigh,\S2026-07-13
\SPA054,\S実験計画,\SDesign of experiments,\S実験計画。変数=continuous、目的=general_nonlinear、制約=bounds。,\Sstatistics,\Sminimize general_nonlinear; subject to bounds,\Scontinuous,\Sgeneral_nonlinear,\Sbounds,\Sconvex,\Ssmooth,\Snone_available,\Slow,\Svery_expensive,\Ssmall_noise,\Sreliable,\Sglobal_candidate,\Sdense,\Sone_off,\Sserial,\Sconditional,\SALT_STAT_INFERENCE;ALT_SURROGATE,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS035;S055;S059,\Shigh,\S2026-07-13
\SPA055,\S逆問題,\SInverse problem,\S逆問題。変数=continuous、目的=sum_of_squares、制約=mixed。,\Sscientific,\Sminimize sum_of_squares; subject to mixed,\Scontinuous,\Ssum_of_squares,\Smixed,\Snonconvex,\Ssmooth,\Sjacobian,\Svery_high,\Svery_expensive,\Ssmall_noise,\Sreliable,\Slocal_stationary,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_LEAST_SQUARES;ALT_PROJECTION_PROX,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS003;S041;S056,\Shigh,\S2026-07-13
\SPA056,\S外れ値を含むparameter estimation,\SRobust parameter estimation,\S外れ値を含むparameter estimation。変数=continuous、目的=sum_of_squares、制約=bounds。,\Sstatistics,\Sminimize sum_of_squares; subject to bounds,\Scontinuous,\Ssum_of_squares,\Sbounds,\Snonconvex,\Spiecewise_smooth,\Sjacobian,\Smedium,\Smoderate,\Ssmall_noise,\Sreliable,\Slocal_stationary,\Sdense,\Sone_off,\Sserial,\Sconditional,\SALT_LEAST_SQUARES;ALT_STAT_INFERENCE,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS003;S041,\Shigh,\S2026-07-13
